Amount,Date,Sender,Recipient,Note
44.28,2016-11-21T01:00:00.000Z,Adam Sanders,Nabilah Knowles,Breakfast on Wednesday 👻🥐
33.29,2016-11-22T01:00:00.000Z,,Mercantile And Mas,Phone/Cable
49.35,2016-11-22T01:00:00.000Z,Adam Sanders,Anthony Palacios,Groceries on Thursday 🥝🥯
35.59,2016-11-23T01:00:00.000Z,Adam Sanders,Theo Freeman,Drinks on Tuesday 🧀🥭
55.74,2016-11-23T01:00:00.000Z,Adam Sanders,Devin Hollis,Brunch on Friday 🍗🥳
31.78,2016-11-24T01:00:00.000Z,Adam Sanders,Lidia Barclay,Snacks on Monday 🥓🌶
52.03,2016-11-24T01:00:00.000Z,Adam Sanders,Gemma Avery,Groceries on Saturday 🥦🥥
-37.96,2016-11-25T01:00:00.000Z,Dominik Lowe,Adam Sanders,Groceries on Sunday 🧈😎
16.01,2016-11-25T01:00:00.000Z,,Publix #719,Phone/Cable
13.71,2016-11-26T01:00:00.000Z,Adam Sanders,Omar Nairn,Lunch on Sunday 🧈🌭
-55.97,2016-11-26T01:00:00.000Z,Norman Liu,Adam Sanders,Snacks on Monday 🤩🍌
19.64,2016-11-27T01:00:00.000Z,Adam Sanders,Shaurya Horne,Snacks on Thursday 🥙🤐
80.03,2016-11-27T01:00:00.000Z,,Bp#Azk12 Azk12,Other Services
69.65,2016-11-28T01:00:00.000Z,,Amagansett Supersav,Phone/Cable
52.02,2016-11-28T01:00:00.000Z,,Exxonmobil 48085070,Phone/Cable
69.43,2016-11-29T01:00:00.000Z,,Amagansett Supersav,Health Care
3.75,2016-11-29T01:00:00.000Z,,Trader Joe's #539 Qps,Travel
50.57,2016-11-30T01:00:00.000Z,Adam Sanders,Boyd Mcclain,Drinks on Sunday 🧅🥞
-71.53,2016-11-30T01:00:00.000Z,Nafeesa Mitchell,Adam Sanders,Tickets on Friday 🍓🥖
68.72,2016-12-01T01:00:00.000Z,Adam Sanders,Devin Hollis,Snacks on Saturday 🥥😋
23.23,2016-12-01T01:00:00.000Z,Adam Sanders,Arron Thorne,Tickets on Thursday 🥯🤯
45.46,2016-12-02T01:00:00.000Z,,Tuk Tuk Thai Food Loft,Dining
-72.52,2016-12-02T01:00:00.000Z,Lex Curran,Adam Sanders,Dinner on Sunday 🍒🍈
-34.41,2016-12-03T01:00:00.000Z,Nafeesa Mitchell,Adam Sanders,Snacks on Friday 🥑🧇
60.37,2016-12-03T01:00:00.000Z,Adam Sanders,Courtnie Mccarty,Brunch on Saturday 🤗🥥
78.26,2016-12-04T01:00:00.000Z,,Amagansett Supersav,Health Care
-49.98,2016-12-04T01:00:00.000Z,Nabilah Knowles,Adam Sanders,Lunch on Wednesday 🌮🥖
49.31,2016-12-05T01:00:00.000Z,Adam Sanders,Tyrell Padilla,Drinks on Friday 🥚🌯
50.77,2016-12-05T01:00:00.000Z,,Tst* Sampan,Other Services
61.85,2016-12-06T01:00:00.000Z,,Best Buy 00006098,Health Care
24.78,2016-12-06T01:00:00.000Z,,Murphy6761atwalmart,Other Services
15.72,2016-12-07T01:00:00.000Z,,Exxonmobil 48085070,Travel
-85.72,2016-12-07T01:00:00.000Z,Lidia Barclay,Adam Sanders,Brunch on Sunday 🥒🍋
14.16,2016-12-08T01:00:00.000Z,Adam Sanders,Leen Mcgrath,Snacks on Sunday 🥑😎
-83.42,2016-12-08T01:00:00.000Z,Hassan Nicholson,Adam Sanders,Tickets on Tuesday 🍔🍅
39.31,2016-12-09T01:00:00.000Z,,ConEd,Phone/Cable
-36.14,2016-12-09T01:00:00.000Z,Yousef Walls,Adam Sanders,Dinner on Thursday 🥚🙏
-81.53,2016-12-10T01:00:00.000Z,Sara Harrington,Adam Sanders,Groceries on Monday 🍎😋
96.62,2016-12-10T01:00:00.000Z,Adam Sanders,Norman Liu,Breakfast on Saturday 👌🥦
48.33,2016-12-11T01:00:00.000Z,,Amagansett Supersav,Travel
23.81,2016-12-11T01:00:00.000Z,,Qt 838 07008386,Travel
97.02,2016-12-12T01:00:00.000Z,,Trader Joe's #539 Qps,Health Care
-93.92,2016-12-12T01:00:00.000Z,Jadene Holding,Adam Sanders,Dinner on Saturday 🌯🍉
73.22,2016-12-13T01:00:00.000Z,,Record Stop Chs,Phone/Cable
-10.14,2016-12-13T01:00:00.000Z,Malachi Cannon,Adam Sanders,Breakfast on Monday 🥕🥝
68.85,2016-12-14T01:00:00.000Z,,Comcast Atlanta Cs 1x,Merchandise
51.12,2016-12-14T01:00:00.000Z,,Krispy Kreme Dough,Phone/Cable
39.99,2016-12-15T01:00:00.000Z,Adam Sanders,Lex Curran,Snacks on Thursday 😋😎
85.81,2016-12-15T01:00:00.000Z,,Amagansett Supersav,Phone/Cable
-29.28,2016-12-16T01:00:00.000Z,Malachi Cannon,Adam Sanders,Dinner on Thursday 👻🍑
69.54,2016-12-16T01:00:00.000Z,,Trader Joe's #539 Qps,Travel
34.35,2016-12-17T01:00:00.000Z,,Taqueria Del Sol Howell,Travel
48.26,2016-12-17T01:00:00.000Z,Adam Sanders,Alivia Mackay,Snacks on Friday 🍏🍊
76.15,2016-12-18T01:00:00.000Z,,76 - Gse 76 Los Feliz,Dining
22.42,2016-12-18T01:00:00.000Z,Adam Sanders,Carlo Hodge,Groceries on Monday 🍖🥩
70.04,2016-12-19T01:00:00.000Z,,Uber Trip I35az,Merchandise
34.57,2016-12-19T01:00:00.000Z,,Qt 761 07007610,Merchandise
33.64,2016-12-20T01:00:00.000Z,,ConEd,Other Services
-6.53,2016-12-20T01:00:00.000Z,Todd Mcmillan,Adam Sanders,Groceries on Thursday 🥪🥩
-42.52,2016-12-21T01:00:00.000Z,Theodor Larson,Adam Sanders,Tickets on Monday 🍠🤐
-40.28,2016-12-21T01:00:00.000Z,Lex Curran,Adam Sanders,Breakfast on Wednesday 🍏👻
-90.69,2016-12-22T01:00:00.000Z,Jo Pena,Adam Sanders,Groceries on Saturday 🧄🤠
17.63,2016-12-22T01:00:00.000Z,,ConEd,Phone/Cable
69,2016-12-23T01:00:00.000Z,,Taqueria Del Sol Athens,Phone/Cable
79.93,2016-12-23T01:00:00.000Z,,Playstationnetwork,Dining
56.82,2016-12-24T01:00:00.000Z,Adam Sanders,Missy Hulme,Tickets on Saturday 🤟😎
-62.7,2016-12-24T01:00:00.000Z,Courtnie Mccarty,Adam Sanders,Brunch on Thursday ⛄️🍏
26.98,2016-12-25T01:00:00.000Z,Adam Sanders,Yousef Walls,Dinner on Sunday 🤟🍍
53.4,2016-12-25T01:00:00.000Z,Adam Sanders,Jo Pena,Breakfast on Wednesday 🥥🥝
-35.68,2016-12-26T01:00:00.000Z,Tyrell Padilla,Adam Sanders,Tickets on Wednesday 🤗🍍
9.7,2016-12-26T01:00:00.000Z,,Publix #719,Merchandise
-2.03,2016-12-27T01:00:00.000Z,Jamal Cole,Adam Sanders,Groceries on Saturday 🧀🥔
-12.12,2016-12-27T01:00:00.000Z,Murtaza Becker,Adam Sanders,Breakfast on Sunday 🍍🧄
71.26,2016-12-28T01:00:00.000Z,Adam Sanders,Alivia Mackay,Dinner on Monday 🥖🍓
26.09,2016-12-28T01:00:00.000Z,,Amagansett Supersav,Phone/Cable
40.63,2016-12-29T01:00:00.000Z,Adam Sanders,Camden Merritt,Brunch on Thursday 🍎🥕
81.71,2016-12-29T01:00:00.000Z,,Spectrum,Other Services
17.63,2016-12-30T01:00:00.000Z,Adam Sanders,Todd Mcmillan,Groceries on Tuesday 🥖🍕
99.92,2016-12-30T01:00:00.000Z,Adam Sanders,Paula Gallagher,Brunch on Friday 🍈🥐
41.79,2016-12-31T01:00:00.000Z,,Murphy6761atwalmart,Dining
63.96,2016-12-31T01:00:00.000Z,,Art Bar,Phone/Cable
78.04,2017-01-01T01:00:00.000Z,,Ton Ton,Dining
10.13,2017-01-01T01:00:00.000Z,,Uber Eats Azk12,Health Care
61.86,2017-01-02T01:00:00.000Z,Adam Sanders,Everett Dalton,Tickets on Sunday 🥖🥕
19.88,2017-01-02T01:00:00.000Z,,Anticos Pizza,Other Services
-79.14,2017-01-03T01:00:00.000Z,Devin Hollis,Adam Sanders,Snacks on Monday 🥑🧅
52.99,2017-01-03T01:00:00.000Z,,Sq *fifth Hammer Brewing,Travel
1.22,2017-01-04T01:00:00.000Z,,Mta*metrocard Machine,Health Care
-23.03,2017-01-04T01:00:00.000Z,Arron Thorne,Adam Sanders,Breakfast on Saturday 🍉🧇
31.88,2017-01-05T01:00:00.000Z,,Publix #719,Dining
-45.11,2017-01-05T01:00:00.000Z,Kelsi Burt,Adam Sanders,Tickets on Friday 🧆🧆
39.28,2017-01-06T01:00:00.000Z,,Amagansett Supersav,Travel
-11.24,2017-01-06T01:00:00.000Z,Arron Thorne,Adam Sanders,Snacks on Saturday 🍅🍠
56.2,2017-01-07T01:00:00.000Z,Adam Sanders,Lidia Barclay,Groceries on Tuesday 🤟🤗
88.31,2017-01-07T01:00:00.000Z,,Art Bar,Travel
32.39,2017-01-08T01:00:00.000Z,Adam Sanders,Lex Curran,Tickets on Thursday 🍋🥯
41.07,2017-01-08T01:00:00.000Z,Adam Sanders,Camden Merritt,Breakfast on Friday 🍳🍐
32.6,2017-01-09T01:00:00.000Z,Adam Sanders,Kitty John,Lunch on Thursday 🧅🧅
23.9,2017-01-09T01:00:00.000Z,,Amagansett Supersav,Dining
85.7,2017-01-10T01:00:00.000Z,,Mirch Masala,Other Services
60.03,2017-01-10T01:00:00.000Z,,Publix #282,Phone/Cable
-39.03,2017-01-11T01:00:00.000Z,Omar Nairn,Adam Sanders,Lunch on Thursday 🌯⛄️
37.99,2017-01-11T01:00:00.000Z,Adam Sanders,Arron Thorne,Breakfast on Friday 🍉🥝
61.95,2017-01-12T01:00:00.000Z,,Spectrum,Phone/Cable
81,2017-01-12T01:00:00.000Z,,Mirch Masala,Merchandise
46.59,2017-01-13T01:00:00.000Z,,Shell Oil 57446255408,Merchandise
65.91,2017-01-13T01:00:00.000Z,Adam Sanders,Dominik Lowe,Groceries on Sunday 🥚🍓
60.16,2017-01-14T01:00:00.000Z,,Murphy6761atwalmart,Merchandise
95.18,2017-01-14T01:00:00.000Z,,Publix #719,Health Care
29.97,2017-01-15T01:00:00.000Z,,Fellini's Pizza-buckhe,Other Services
14.46,2017-01-15T01:00:00.000Z,,Ifc Theatres Llc Box Off,Other Services
-35.58,2017-01-16T01:00:00.000Z,Carlo Hodge,Adam Sanders,Lunch on Tuesday 🍍🍕
96.26,2017-01-16T01:00:00.000Z,,Publix #719,Phone/Cable
-16.55,2017-01-17T01:00:00.000Z,Thelma Stacey,Adam Sanders,Dinner on Wednesday 🍞🥦
-81.19,2017-01-17T01:00:00.000Z,Paula Gallagher,Adam Sanders,Snacks on Wednesday 🍌🍆
6.37,2017-01-18T01:00:00.000Z,,Amagansett Supersav,Other Services
91.42,2017-01-18T01:00:00.000Z,Adam Sanders,Paula Gallagher,Brunch on Sunday 🍞🤟
84.57,2017-01-19T01:00:00.000Z,Adam Sanders,Jadene Holding,Groceries on Tuesday 🥪🥥
-84.79,2017-01-19T01:00:00.000Z,Kitty John,Adam Sanders,Dinner on Thursday 🥳🥚
82.33,2017-01-20T01:00:00.000Z,Adam Sanders,Lidia Barclay,Tickets on Sunday 🥳🥯
36.43,2017-01-20T01:00:00.000Z,,Taqueria Del Sol Athens,Health Care
45.49,2017-01-21T01:00:00.000Z,,Trader Joe's #539 Qps,Travel
-59.16,2017-01-21T01:00:00.000Z,Murtaza Becker,Adam Sanders,Brunch on Wednesday 🌭⛄️
5.84,2017-01-22T01:00:00.000Z,Adam Sanders,Hassan Nicholson,Breakfast on Friday 🍔🥐
92.44,2017-01-22T01:00:00.000Z,,Uber Trip,Health Care
3.21,2017-01-23T01:00:00.000Z,Adam Sanders,Theodor Larson,Groceries on Monday 🍏🍈
93.76,2017-01-23T01:00:00.000Z,,Trader Joe's #539 Qps,Health Care
44.36,2017-01-24T01:00:00.000Z,,Sq *fifth Hammer Brewing,Phone/Cable
-60.73,2017-01-24T01:00:00.000Z,Jo Pena,Adam Sanders,Groceries on Tuesday 🍅🥙
-11.73,2017-01-25T01:00:00.000Z,Alivia Mackay,Adam Sanders,Tickets on Sunday 🍋🌭
51.57,2017-01-25T01:00:00.000Z,,Down The Hatch,Travel
11.7,2017-01-26T01:00:00.000Z,Adam Sanders,Alivia Mackay,Breakfast on Saturday 🍈🥨
3.06,2017-01-26T01:00:00.000Z,Adam Sanders,Tyriq Chavez,Dinner on Saturday 🍆🍕
97.53,2017-01-27T01:00:00.000Z,Adam Sanders,Everett Dalton,Lunch on Thursday 🥙🤩
21.26,2017-01-27T01:00:00.000Z,,Karakatta,Other Services
45.64,2017-01-28T01:00:00.000Z,,Trader Joe's #539 Qps,Other Services
-47.16,2017-01-28T01:00:00.000Z,Yousef Walls,Adam Sanders,Breakfast on Monday 🥐🙏
69.98,2017-01-29T01:00:00.000Z,,Publix #719,Phone/Cable
-58.9,2017-01-29T01:00:00.000Z,Abdurahman Fox,Adam Sanders,Tickets on Thursday 🥯🍇
21.48,2017-01-30T01:00:00.000Z,,Tm *atlanta United Fc,Merchandise
-60.25,2017-01-30T01:00:00.000Z,Gemma Avery,Adam Sanders,Snacks on Thursday 🍑⛄️
68.67,2017-01-31T01:00:00.000Z,,Publix #719,Merchandise
-91.06,2017-01-31T01:00:00.000Z,Devin Hollis,Adam Sanders,Drinks on Sunday 🍌🥯
33.46,2017-02-01T01:00:00.000Z,,Megabus.com,Phone/Cable
38.88,2017-02-01T01:00:00.000Z,,Mta*metrocard Machine,Travel
49.86,2017-02-02T01:00:00.000Z,,Comcast Atlanta Cs 1x,Travel
-34.08,2017-02-02T01:00:00.000Z,Norman Liu,Adam Sanders,Drinks on Wednesday 🤯🤠
92.85,2017-02-03T01:00:00.000Z,,ConEd,Dining
14.72,2017-02-03T01:00:00.000Z,,Minero Restaurant,Phone/Cable
-75.76,2017-02-04T01:00:00.000Z,Dominik Lowe,Adam Sanders,Dinner on Tuesday 🥞🍆
0.54,2017-02-04T01:00:00.000Z,,Trader Joe's #539 Qps,Travel
24.49,2017-02-05T01:00:00.000Z,,Publix #719,Merchandise
72.3,2017-02-05T01:00:00.000Z,Adam Sanders,Todd Mcmillan,Drinks on Monday 🥭🍍
2.03,2017-02-06T01:00:00.000Z,,Mirch Masala,Phone/Cable
68.94,2017-02-06T01:00:00.000Z,,Publix #719,Other Services
0.06,2017-02-07T01:00:00.000Z,Adam Sanders,Aarron Timms,Tickets on Wednesday 🍐🍕
21.63,2017-02-07T01:00:00.000Z,Adam Sanders,Theo Freeman,Drinks on Tuesday 🥙👌
49.89,2017-02-08T01:00:00.000Z,,Ingles Gas Exp #133,Merchandise
-78.69,2017-02-08T01:00:00.000Z,Theo Freeman,Adam Sanders,Groceries on Wednesday 🥑🤟
83.51,2017-02-09T01:00:00.000Z,,Qt 838 07008386,Health Care
9.73,2017-02-09T01:00:00.000Z,,Amagansett Supersav,Merchandise
39.17,2017-02-10T01:00:00.000Z,,Publix #719,Phone/Cable
8.89,2017-02-10T01:00:00.000Z,,Qt 761 07007610,Merchandise
27.6,2017-02-11T01:00:00.000Z,,Uber Trip I35az,Health Care
77.7,2017-02-11T01:00:00.000Z,,Shell Oil 57446255408,Health Care
32.35,2017-02-12T01:00:00.000Z,Adam Sanders,Shaurya Horne,Dinner on Tuesday 🥓🍐
46.36,2017-02-12T01:00:00.000Z,,Sq *dsk Brooklyn,Phone/Cable
31.44,2017-02-13T01:00:00.000Z,Adam Sanders,Shaurya Horne,Breakfast on Thursday 🌯🙏
8.61,2017-02-13T01:00:00.000Z,,Playstationnetwork,Health Care
-87.42,2017-02-14T01:00:00.000Z,Gemma Avery,Adam Sanders,Brunch on Thursday 🍓🍍
-90.55,2017-02-14T01:00:00.000Z,Renae Hutchinson,Adam Sanders,Tickets on Saturday 🌯🍓
23.54,2017-02-15T01:00:00.000Z,,Publix #719,Other Services
38.84,2017-02-15T01:00:00.000Z,,Tom's Dim Sum,Merchandise
-69.52,2017-02-16T01:00:00.000Z,Malachi Cannon,Adam Sanders,Tickets on Tuesday 🙏🥑
99.3,2017-02-16T01:00:00.000Z,,Publix #719,Dining
35.24,2017-02-17T01:00:00.000Z,,Trader Joe's #539 Qps,Dining
95.48,2017-02-17T01:00:00.000Z,Adam Sanders,Cory Maguire,Groceries on Monday 🍆🍍
24.85,2017-02-18T01:00:00.000Z,,Mta*metrocard Machine,Dining
76.97,2017-02-18T01:00:00.000Z,,Megabus.com,Other Services
16.26,2017-02-19T01:00:00.000Z,,Tuk Tuk Thai Food Loft,Merchandise
69.36,2017-02-19T01:00:00.000Z,,Sq *american Whiskey,Other Services
0.59,2017-02-20T01:00:00.000Z,,Tm *atlanta United Fc,Other Services
18.74,2017-02-20T01:00:00.000Z,,Karakatta,Dining
74.31,2017-02-21T01:00:00.000Z,,Gu's Dumplings,Health Care
-96.47,2017-02-21T01:00:00.000Z,Tyriq Chavez,Adam Sanders,Drinks on Wednesday 🍖🥦
95.81,2017-02-22T01:00:00.000Z,,Tuk Tuk Thai Food Loft,Travel
73.64,2017-02-22T01:00:00.000Z,,Atlantic Wines And Liquor,Other Services
93.33,2017-02-23T01:00:00.000Z,,Sq *brick+mortar Go,Other Services
21.5,2017-02-23T01:00:00.000Z,,Cinepolis Chelsea,Health Care
-62.01,2017-02-24T01:00:00.000Z,Amelia-Lily Pham,Adam Sanders,Lunch on Sunday 🍔🌶
38.54,2017-02-24T01:00:00.000Z,,Playstationnetwork,Other Services
94.11,2017-02-25T01:00:00.000Z,,CVS,Phone/Cable
22.38,2017-02-25T01:00:00.000Z,,Atlantic Wines And Liquor,Merchandise
73.63,2017-02-26T01:00:00.000Z,,Minero Restaurant,Travel
28.12,2017-02-26T01:00:00.000Z,,Taqueria Del Sol Howell,Travel
52.41,2017-02-27T01:00:00.000Z,,Ingles Gas Exp #133,Merchandise
27.81,2017-02-27T01:00:00.000Z,,Qt 838 07008386,Travel
32.84,2017-02-28T01:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
77.38,2017-02-28T01:00:00.000Z,,Qt 798 07007982,Phone/Cable
37.99,2017-03-01T01:00:00.000Z,,Amer Mus Nat Hist Tix,Health Care
55.56,2017-03-01T01:00:00.000Z,Adam Sanders,Cory Maguire,Lunch on Sunday 👻😋
48.51,2017-03-02T01:00:00.000Z,,Qt 798 07007982,Health Care
15.35,2017-03-02T01:00:00.000Z,,Publix #719,Travel
20.8,2017-03-03T01:00:00.000Z,Adam Sanders,Anthony Palacios,Snacks on Sunday 🌯🥨
75.31,2017-03-03T01:00:00.000Z,Adam Sanders,Anthony Palacios,Groceries on Tuesday 🍉👻
99.03,2017-03-04T01:00:00.000Z,,Citgo-metro Food & Gas,Phone/Cable
0.24,2017-03-04T01:00:00.000Z,Adam Sanders,Missy Hulme,Dinner on Monday 🍳🧀
73.31,2017-03-05T01:00:00.000Z,,Sunoco 0718764400,Merchandise
-93.46,2017-03-05T01:00:00.000Z,Abdurahman Fox,Adam Sanders,Dinner on Sunday 🤯🍇
26.43,2017-03-06T01:00:00.000Z,,Publix #719,Other Services
39.78,2017-03-06T01:00:00.000Z,,Taqueria Del Sol Athens,Merchandise
32.27,2017-03-07T01:00:00.000Z,,Qt 838 07008386,Other Services
-86.46,2017-03-07T01:00:00.000Z,Carlo Hodge,Adam Sanders,Drinks on Saturday 🍉🥙
37.52,2017-03-08T01:00:00.000Z,,Comcast Atlanta Cs 1x,Phone/Cable
80.86,2017-03-08T01:00:00.000Z,,Mirch Masala,Health Care
86.82,2017-03-09T01:00:00.000Z,,Spectrum,Merchandise
55.64,2017-03-09T01:00:00.000Z,,Comcast Atlanta Cs 1x,Travel
36.15,2017-03-10T01:00:00.000Z,Adam Sanders,Nabilah Knowles,Tickets on Wednesday 🥝😋
52.63,2017-03-10T01:00:00.000Z,,Murphy6761atwalmart,Travel
-17.53,2017-03-11T01:00:00.000Z,Theo Freeman,Adam Sanders,Drinks on Monday 🥭🤑
65.16,2017-03-11T01:00:00.000Z,,Playstationnetwork,Other Services
30.41,2017-03-12T01:00:00.000Z,,Mta*metrocard Machine,Travel
1.56,2017-03-12T01:00:00.000Z,Adam Sanders,Norman Liu,Groceries on Sunday 🤠🥞
74.28,2017-03-13T00:00:00.000Z,,Spectrum,Merchandise
63.94,2017-03-13T00:00:00.000Z,,Amagansett Supersav,Dining
82.86,2017-03-14T00:00:00.000Z,,Best In Class Barber Shop,Travel
39.56,2017-03-14T00:00:00.000Z,,Shell Oil 57446255408,Phone/Cable
-45.54,2017-03-15T00:00:00.000Z,Aarron Timms,Adam Sanders,Snacks on Friday 🍒🍖
40.28,2017-03-15T00:00:00.000Z,Adam Sanders,Sara Harrington,Drinks on Thursday 🍕🍔
-47.56,2017-03-16T00:00:00.000Z,Camden Merritt,Adam Sanders,Groceries on Saturday 🥩🍍
41.71,2017-03-16T00:00:00.000Z,,Bull Mccabes,Phone/Cable
-78.44,2017-03-17T00:00:00.000Z,Lex Curran,Adam Sanders,Tickets on Thursday 🥙🤗
-96.78,2017-03-17T00:00:00.000Z,Lidia Barclay,Adam Sanders,Dinner on Wednesday 🍓🥒
66.41,2017-03-18T00:00:00.000Z,,Publix #719,Other Services
82.5,2017-03-18T00:00:00.000Z,,Sq *los Tacos Al Pastor,Dining
44.83,2017-03-19T00:00:00.000Z,Adam Sanders,Jamal Cole,Lunch on Tuesday 🍞🍗
87.55,2017-03-19T00:00:00.000Z,,Publix #719,Dining
5.86,2017-03-20T00:00:00.000Z,,Amagansett Supersav,Other Services
79.39,2017-03-20T00:00:00.000Z,,Publix #282,Travel
44.12,2017-03-21T00:00:00.000Z,,9640 Amc Online,Merchandise
-93.86,2017-03-21T00:00:00.000Z,Sara Harrington,Adam Sanders,Snacks on Tuesday 🥖🌶
71.71,2017-03-22T00:00:00.000Z,,Publix #719,Other Services
18.23,2017-03-22T00:00:00.000Z,,Sq *fifth Hammer Brewing,Other Services
45.9,2017-03-23T00:00:00.000Z,Adam Sanders,Cory Maguire,Breakfast on Saturday 🌶🍊
37.2,2017-03-23T00:00:00.000Z,,Sq *brick+mortar Go,Travel
38.08,2017-03-24T00:00:00.000Z,Adam Sanders,Malachi Cannon,Lunch on Sunday 🍎👻
65.64,2017-03-24T00:00:00.000Z,,Publix #719,Health Care
32.1,2017-03-25T00:00:00.000Z,Adam Sanders,Hina Couch,Drinks on Thursday 🥩🥙
59.87,2017-03-25T00:00:00.000Z,,Tst* Sampan,Other Services
53.79,2017-03-26T00:00:00.000Z,,Trader Joe's #539 Qps,Other Services
78.44,2017-03-26T00:00:00.000Z,,Amarachi Restaurant,Merchandise
43.03,2017-03-27T00:00:00.000Z,,Sunoco 0718764400,Dining
38.03,2017-03-27T00:00:00.000Z,,Publix #282,Merchandise
33.68,2017-03-28T00:00:00.000Z,Adam Sanders,Norman Liu,Lunch on Sunday 👌🌯
76.4,2017-03-28T00:00:00.000Z,,Bp#4979753speaks #106,Health Care
48.17,2017-03-29T00:00:00.000Z,,Spectrum,Travel
44.28,2017-03-29T00:00:00.000Z,Adam Sanders,Malachi Cannon,Drinks on Thursday 🧆🥨
68.49,2017-03-30T00:00:00.000Z,,Exxonmobil 97303341,Merchandise
86.98,2017-03-30T00:00:00.000Z,Adam Sanders,Hina Couch,Tickets on Sunday 🤩🤟
-9.98,2017-03-31T00:00:00.000Z,Shaurya Horne,Adam Sanders,Dinner on Saturday 🥔🍆
63.87,2017-03-31T00:00:00.000Z,Adam Sanders,Lex Curran,Brunch on Saturday 🍌🧀
30.21,2017-04-01T00:00:00.000Z,,Bp#Azk12 Azk12,Travel
35.28,2017-04-01T00:00:00.000Z,,Down The Hatch,Phone/Cable
33.42,2017-04-02T00:00:00.000Z,Adam Sanders,Carlo Hodge,Breakfast on Thursday 🍏🥭
52.48,2017-04-02T00:00:00.000Z,,Publix #719,Health Care
10.12,2017-04-03T00:00:00.000Z,,Publix #719,Dining
6.69,2017-04-03T00:00:00.000Z,,Music Midtown,Dining
